gene_id,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq
ENSG00000230327.1,50.0,56.0,62.0,28.0,41.0,41.0,46.0,13.0,24.0,82.9747,95.0,31.0,64.0
ENSG00000186912.6,4.0,10.0,8.0,11.0,4.0,4.0,4.0,9.0,19.0,3.0,5.0,7.0,2.0
ENSG00000135744.7,2271.97,3737.89,4158.0,4240.99,3152.98,3010.99,1376.99,3033.0,4103.97,3957.98,3047.95,8537.96,1893.0
ENSG00000259108.2,1.01393,6.05041,12.2513,6.04317,7.0804,4.14768,6.0726,4.08789,6.01945,2.01336,14.2666,2.01781,11.0892
ENSG00000249028.2,32.0,76.0,29.0,59.0,48.0,129.0,73.0,132.0,142.0,42.0,83.0,62.0,86.0
ENSG00000163377.15,94.0,116.0,90.0,124.0,71.0,27.0,82.0001,37.0,31.9999,117.0,73.0,46.0,102.0
ENSG00000135773.12,51.0001,263.0,87.0,105.0,94.0,106.0,30.9999,92.0,115.0,127.0,118.0,88.0,52.0001
ENSG00000226261.1,3.0,7.0,1.0,10.0,12.0,7.0,3.0,4.0,3.0,4.0,7.0,1.0,4.0
ENSG00000182118.6,118.0,86.0001,103.0,88.0,101.0,133.0,70.0,212.0,265.0,107.0,102.0,341.0,133.0
ENSG00000235710.4,3.0,15.0,14.0,4.0,11.0,3.0,11.0,8.0,4.0,7.0,9.0,5.0,10.0
ENSG00000227785.1,8.0,12.0,33.0,7.0,13.0,23.0,5.0,22.0,11.0,14.0,7.0,5.0,7.0
ENSG00000004059.10,1486.97,1448.88,1377.41,1082.76,967.009,1009.4,734.5139999999999,749.9989999999998,1122.0,1318.4,1069.4,1153.55,934.577
ENSG00000278991.1,138.379,254.391,201.859,250.257,193.546,208.0,314.279,310.096,268.577,175.0,202.646,137.0,267.0
ENSG00000169618.6,6.0,3.4161,2.0,6.0,3.88236,16.0,1.0,3.80165,8.72199,4.0,19.0,15.0,0.0
ENSG00000093009.9,6.0,6.0,18.0,21.0,6.0,19.0,14.0,28.0,33.0,4.0,17.0,8.0,12.0
ENSG00000261796.1,335.8590000000001,332.635,261.999,361.929,333.862,359.042,309.156,343.908,523.195,339.2030000000001,287.043,188.208,191.687
ENSG00000163577.7,977.656,1413.55,932.374,466.3,990.523,638.882,961.313,434.355,644.227,1305.54,1256.85,643.377,1028.67
ENSG00000097046.12,746.0,559.0,676.9989999999998,371.0,421.001,391.0,411.999,309.0,515.0,640.0,704.0,647.0,718.0
ENSG00000170852.10,1855.25,2163.97,2196.18,1512.38,1697.15,1438.46,1798.37,1075.99,1614.77,2499.28,2282.71,1879.99,2601.97
ENSG00000234352.9,201.408,399.24300000000005,336.8590000000001,304.858,305.3,248.151,320.779,299.843,314.699,263.675,385.762,203.485,344.715
ENSG00000172939.8,1270.0,1488.0,1442.0,1414.0,1189.0,1178.0,1247.0,1067.0,1321.0,1520.0,1527.0,1351.0,1772.0
ENSG00000115956.9,116.0,57.0,144.0,140.0,120.0,297.0,111.0,497.0,515.0,149.0,164.0,1462.0,175.0
ENSG00000227176.1,26.0,52.0,36.262,33.3,36.0,24.1782,25.0,34.0,39.0,32.0,34.2029,26.1589,39.753
ENSG00000283503.1,435.782,818.933,539.002,1106.72,476.506,828.7560000000002,808.044,1471.48,1265.92,506.591,834.273,456.758,668.029
ENSG00000233461.5,11.0,28.3287,21.0,35.9544,14.1682,11.0,37.4413,42.0,34.3623,28.332,21.151,47.3863,35.529
ENSG00000237320.2,0.0,18.0,7.0,6.0,6.0,13.0,4.0,1.0,11.0,13.0,11.0,1.0,3.0
ENSG00000095794.19,882.039,508.056,861.0,522.168,509.031,1040.04,546.101,924.061,874.929,857.192,826.3689999999998,1646.19,763.12
ENSG00000116918.13,2769.47,2513.38,2557.93,1203.79,2099.58,2236.83,1271.53,1106.09,2088.0,3484.59,2446.77,2635.19,1744.5
ENSG00000256262.1,2.0,6.0,7.0,16.0,9.24907,10.0,14.0,11.4451,13.0,7.0,14.0,13.0,15.0
ENSG00000084110.10,2.0,6.0,4.0,10.0,9.0,8.0,6.0,7.0000100000000005,5.0,11.0,6.0,28.0,7.0
ENSG00000224946.1,7.0,11.0,10.0,31.0,18.0,19.0,14.0,24.0,20.0,15.0,15.0,5.0,18.0
