gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000278654,RP11-434C1.4,,0.15955529843896096,0.00015617125165645618,0.002790048503562746
ENSG00000159239,C2orf81,C2orf81,0.014441137156764731,0.0001562444272952268,0.002790048503562746
ENSG00000180340,FZD2,FZD2,-0.03371452812684188,0.00015684622613165722,0.00279887906535486
ENSG00000197769,MAP1LC3C,MAP1LC3C,-0.12350397193008375,0.00015706481234256664,0.002800863902395913
ENSG00000142347,MYO1F,MYO1F,-0.008116078276383462,0.00015719562892901884,0.002801281942028123
ENSG00000002746,HECW1,HECW1,0.001517165976243862,0.00015783725183537994,0.002808878624238217
ENSG00000082074,FYB,FYB,-0.007940679011941426,0.0001577712855066471,0.002808878624238217
ENSG00000111886,GABRR2,GABRR2,-0.13385880503032976,0.00015882293499347444,0.0028244932181627504
ENSG00000282907,LA16c-407A10.3,,0.1977020090926116,0.00015988338087280507,0.0028414152068055947
ENSG00000186364,NUDT17,NUDT17,-0.019123131746559427,0.00016008967212954858,0.002843144626404216
ENSG00000181481,RNF135,RNF135,-0.015723612441954703,0.00016046340557596128,0.002845907401815944
ENSG00000012232,EXTL3,EXTL3,0.0023943730502983857,0.00016042692233242395,0.002845907401815944
ENSG00000187048,CYP4A11,CYP4A11,0.1241099427582047,0.00016077657314716998,0.002849524467959591
ENSG00000004866,ST7,ST7,-0.006886335321519579,0.00016107604824822097,0.0028528941091295564
ENSG00000283189,RP11-949J7.8,,0.0043483456950931774,0.00016139419642768882,0.0028565896815481505
ENSG00000171847,FAM90A1,FAM90A1,0.02672587203519569,0.00016167469234662502,0.002859614270258373
ENSG00000084093,REST,REST,-0.005831651047891046,0.00016220746545458908,0.0028670938795696305
ENSG00000131462,TUBG1,TUBG1,0.004824263298040037,0.00016299137129371918,0.002878999245553041
ENSG00000110628,SLC22A18,SLC22A18,0.013736746607247123,0.00016459469123064618,0.002905352435396704
ENSG00000139180,NDUFA9,NDUFA9,0.003604619602411889,0.0001647197662089095,0.0029055943073862337
ENSG00000110400,NECTIN1,NECTIN1,0.001223810812533909,0.00016497265550097231,0.002908088925246531
ENSG00000262772,LINC01977,LINC01977,-0.16770464267819624,0.00016579608750288966,0.002920630740623152
ENSG00000070087,PFN2,PFN2,0.00022241678243561035,0.000165969855429271,0.0029217190001985505
ENSG00000109436,TBC1D9,TBC1D9,0.0016112216955549794,0.00016634533355586179,0.002926354286674901
ENSG00000112029,FBXO5,FBXO5,-0.03053694748448081,0.00016743579205158454,0.0029435528159257327
ENSG00000108950,FAM20A,FAM20A,-0.010123447753303295,0.00016767372582315865,0.0029457507292931892
ENSG00000075945,KIFAP3,KIFAP3,0.0007261276659574662,0.0001686022857609881,0.0029600706818428122
ENSG00000152661,GJA1,GJA1,-0.00013084024948137543,0.00016885872623861875,0.002962579225850252
ENSG00000089057,SLC23A2,SLC23A2,0.0012258545835186787,0.00016940974488943716,0.002970249216680461
ENSG00000126214,KLC1,KLC1,0.00026166968687414395,0.00016965557963655176,0.002972561730784418
ENSG00000279118,RP11-517I3.2,,-0.0024099632022992552,0.00016994290975680393,0.0029755976997619176
ENSG00000233017,RP5-908M14.5,,0.2860208628909993,0.00017008227951376134,0.0029760406373135605
ENSG00000109743,BST1,BST1,-0.0724648059444841,0.00017052679064621934,0.002978240998185321
ENSG00000204052,LRRC73,LRRC73,0.0063189792204335895,0.00017055050217673615,0.002978240998185321
ENSG00000151466,SCLT1,SCLT1,0.013703588116562556,0.0001708350694090699,0.0029812147998750666
ENSG00000146963,LUC7L2,LUC7L2,0.0022472096725142587,0.00017109691568317764,0.002983788391215522
ENSG00000122566,HNRNPA2B1,HNRNPA2B1,-0.000273272050070384,0.00017165212672021202,0.002990462988693975
ENSG00000133460,SLC2A11,SLC2A11,0.0052978596807507616,0.0001717089024900753,0.002990462988693975
ENSG00000243155,RP11-46A10.5,,0.05993656421804309,0.00017344592423040872,0.0030186996112389146
ENSG00000108641,B9D1,B9D1,0.007742537788854958,0.00017436805516501952,0.003032725460800129
ENSG00000168675,LDLRAD4,LDLRAD4,0.001898561043629087,0.0001747012175427054,0.003036495712506091
ENSG00000230876,LINC00486,LINC00486,0.2029744401908032,0.00017492314142819598,0.0030383287860986717
ENSG00000111961,SASH1,SASH1,-0.0007086771337791461,0.00017515412162383281,0.0030403166194572016
ENSG00000055211,GINM1,GINM1,-0.003649836292728253,0.00017538067932221235,0.003042225094971541
ENSG00000167747,C19orf48,C19orf48,0.013239997226508442,0.00017550405237543032,0.003042342340480134
ENSG00000091317,CMTM6,CMTM6,-0.004634958978592618,0.00017574363920425107,0.003044472644886923
ENSG00000188394,GPR21,GPR21,0.056657318666888674,0.00017635422592288116,0.003048016812928899
ENSG00000144935,TRPC1,TRPC1,0.004021459645983737,0.00017639438129479768,0.003048016812928899
ENSG00000102287,GABRE,GABRE,-0.006373769497198477,0.00017651908345794887,0.003048016812928899
ENSG00000142185,TRPM2,TRPM2,0.002250222085617024,0.00017653238546266886,0.003048016812928899
ENSG00000137727,ARHGAP20,ARHGAP20,0.0035570900529866725,0.0001763997493983149,0.003048016812928899
ENSG00000241973,PI4KA,PI4KA,0.0002915514124190492,0.0001767657767016706,0.0030499739254930018
ENSG00000282164,PEG13,PEG13,0.0039606813593739505,0.00017687954882406046,0.0030499739254930018
ENSG00000152931,PART1,PART1,0.001535780931835408,0.0001772436090036189,0.003054232837051132
ENSG00000161267,BDH1,BDH1,0.002719673930760268,0.00017743739728026675,0.003054535336375566
ENSG00000257103,LSM14A,LSM14A,-0.0021660853333274805,0.00017749532638067222,0.003054535336375566
ENSG00000213366,GSTM2,GSTM2,-0.001510543307913788,0.000178513438455985,0.0030625576147064165
ENSG00000129636,ITFG1,ITFG1,0.0007221711982627138,0.00017878053566755536,0.0030625576147064165
ENSG00000269103,Metazoa_SRP,,0.10220874603455933,0.00017901309951562358,0.0030625576147064165
ENSG00000198930,CSAG1,CSAG1,-0.10548536559003573,0.0001789903513946811,0.0030625576147064165
ENSG00000239521,GATS,GATS,0.0017324132595644304,0.00017852478853208614,0.0030625576147064165
ENSG00000132305,IMMT,IMMT,0.002300253121582869,0.00017862628897502564,0.0030625576147064165
ENSG00000152034,MCHR2,MCHR2,0.007471043056978144,0.00017901799081709857,0.0030625576147064165
ENSG00000213445,SIPA1,SIPA1,-0.003496635443096427,0.00017827522578106603,0.0030625576147064165
ENSG00000171100,MTM1,MTM1,-0.005414317152546937,0.00017895725407712781,0.0030625576147064165
ENSG00000178977,LINC00324,LINC00324,-0.07931366065364404,0.00017915466682305592,0.0030628873543556397
ENSG00000129103,SUMF2,SUMF2,0.004052398180207611,0.00017934607865044416,0.0030641518309832607
ENSG00000116133,DHCR24,DHCR24,0.00044582522219648567,0.0001799036910405949,0.003069661175388213
ENSG00000185105,MYADML2,MYADML2,0.016112704520599975,0.00017991346210122217,0.003069661175388213
ENSG00000134242,PTPN22,PTPN22,-0.09544927521915628,0.00018002152625029574,0.003069661175388213
ENSG00000225282,AP000350.6,,-0.193666480032621,0.00018045155363122242,0.003074356085347602
ENSG00000137996,RTCA,RTCA,0.004521864560324145,0.0001805325433229532,0.003074356085347602
ENSG00000138356,AOX1,AOX1,-0.020417616749378958,0.00018148120919259103,0.003088495281556104
ENSG00000184056,VPS33B,VPS33B,0.0066634884841254675,0.00018164377410301305,0.0030892466900739944
ENSG00000220161,LINC02076,LINC02076,-0.1158404563888164,0.00018211214904606532,0.003095194694764038
ENSG00000085415,SEH1L,SEH1L,0.00267023450399775,0.00018313602911701482,0.003110570223719921
ENSG00000171806,METTL18,METTL18,-0.02529300652378063,0.00018341468815064044,0.003113276382018255
ENSG00000136295,TTYH3,TTYH3,0.001086985947593034,0.00018361703959357545,0.003114684620257991
ENSG00000162975,KCNF1,KCNF1,0.0015450281279021894,0.00018387728954094573,0.0031170725190602555
ENSG00000204681,GABBR1,GABBR1,0.00032852521000226523,0.0001843997411624665,0.0031238992514205123
ENSG00000236255,AC009404.2,,-0.02723518053754546,0.00018494758575726686,0.003131147024543372
ENSG00000248383,PCDHAC1,PCDHAC1,0.013459229732040884,0.0001859746264313289,0.0031464928851925675
ENSG00000163605,PPP4R2,PPP4R2,-0.0016011070328703105,0.0001869396998125384,0.0031587239821303835
ENSG00000108395,TRIM37,TRIM37,0.0006492327155078277,0.0001868281503123459,0.0031587239821303835
ENSG00000165238,WNK2,WNK2,0.001202829942210897,0.00018759804122925328,0.0031677963091456237
ENSG00000278985,RP11-303E16.9,,0.07796960270195942,0.00018806746700328336,0.003173668917625265
ENSG00000224819,AC093843.1,,0.2831376173466981,0.0001883910450894977,0.0031770743214866873
ENSG00000189419,SPATA41,SPATA41,-0.03917583269635085,0.00018867852655191092,0.003179866976235661
ENSG00000188042,ARL4C,ARL4C,0.0016376734270311356,0.00018908325486399757,0.0031846307528384976
ENSG00000197798,FAM118B,FAM118B,-0.008438394611054171,0.00019008214677518345,0.003199389114334039
ENSG00000198934,MAGEE1,MAGEE1,0.001553231654277265,0.0001903083880782086,0.0032011318739989586
ENSG00000279442,LA16c-60D12.2,,0.06546681912862687,0.00019045644499504635,0.0032015581143529405
ENSG00000124795,DEK,DEK,-0.0018192826018985336,0.00019085071435287482,0.003204056812581822
ENSG00000198003,CCDC151,CCDC151,-0.012700970879510859,0.0001908232005433108,0.003204056812581822
ENSG00000119973,PRLHR,PRLHR,0.044826708315171125,0.00019135656258972844,0.00320892372816542
ENSG00000149451,ADAM33,ADAM33,-0.002690417375611939,0.00019144306975915626,0.00320892372816542
ENSG00000166762,CATSPER2,CATSPER2,0.0068862181775256725,0.00019150961112934795,0.00320892372816542
ENSG00000112186,CAP2,CAP2,0.0004281273059238605,0.000191887760094378,0.003213196260014268
ENSG00000143622,RIT1,RIT1,-0.009086785398264146,0.0001923839557712581,0.003213259564788379
ENSG00000143337,TOR1AIP1,TOR1AIP1,-0.002656613566996193,0.00019250736708054103,0.003213259564788379
ENSG00000153558,FBXL2,FBXL2,0.001846483021631761,0.0001923974093741565,0.003213259564788379
ENSG00000103671,TRIP4,TRIP4,-0.008365779260678368,0.00019245127421163577,0.003213259564788379
ENSG00000198624,CCDC69,CCDC69,-0.00659938177314141,0.00019222562239495922,0.003213259564788379
ENSG00000164129,NPY5R,NPY5R,0.02063030381721884,0.00019265840812365814,0.003213724558528209
ENSG00000124507,PACSIN1,PACSIN1,0.00021515214842790249,0.0001930567839377728,0.003216256983494607
ENSG00000147606,SLC26A7,SLC26A7,-0.04875077980927413,0.00019304717125456786,0.003216256983494607
ENSG00000165474,GJB2,GJB2,-0.010875727886971923,0.0001932234334320881,0.0032169790394446377
ENSG00000103995,CEP152,CEP152,-0.02206322822446993,0.0001941518475494508,0.0032303747134678714
ENSG00000173818,ENDOV,ENDOV,0.00856067806829062,0.0001944033569143411,0.003232497883070901
ENSG00000198911,SREBF2,SREBF2,0.0005387823259743581,0.00019462726981422926,0.003234159772091355
ENSG00000271601,LIX1L,LIX1L,-0.004267262388586146,0.00019482734578224467,0.0032354236945340434
ENSG00000002933,TMEM176A,TMEM176A,-0.005577805746543178,0.00019522403507432617,0.0032399490146654553
ENSG00000230487,PSMG3-AS1,PSMG3-AS1,0.008012531049155128,0.00019570278970793,0.0032458296762175372
ENSG00000149273,RPS3,RPS3,-0.0004749800753636369,0.00019595260530247405,0.003247908208218707
ENSG00000105855,ITGB8,ITGB8,-0.000791641408209779,0.0001962628290950175,0.0032493974251147444
ENSG00000132646,PCNA,PCNA,-0.004946819436113567,0.00019629155360423314,0.0032493974251147444
