gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000277782,RP11-775C24.5,,-0.038405967014186984,0.0034673727454862524,0.035443991393538564
ENSG00000157152,SYN2,SYN2,-0.0001701323553970069,0.003474171711654761,0.035477117069168285
ENSG00000088543,C3orf18,C3orf18,-0.003344113560763189,0.003473743927516759,0.035477117069168285
ENSG00000085563,ABCB1,ABCB1,0.0015085675018818448,0.0034736261907286625,0.035477117069168285
ENSG00000185158,LRRC37B,LRRC37B,0.003707299748042055,0.003490762897922273,0.035634374838517134
ENSG00000142867,BCL10,BCL10,0.011163528057179595,0.003494021919254409,0.03565547444725328
ENSG00000204271,SPIN3,SPIN3,-0.0034013486464728607,0.003495965265035484,0.03566313815730263
ENSG00000184293,CLECL1,CLECL1,0.15216744942781596,0.0034974254879602817,0.03566586987551723
ENSG00000143178,TBX19,TBX19,0.02556375958356752,0.003500742230415188,0.035675366307229395
ENSG00000075415,SLC25A3,SLC25A3,-0.0004125219811676,0.003500054716814249,0.035675366307229395
ENSG00000171345,KRT19,KRT19,0.01062123668256505,0.003509307935126493,0.03575047695491602
ENSG00000088538,DOCK3,DOCK3,-0.0004062635069959243,0.0035120892313758034,0.03576662884250945
ENSG00000012817,KDM5D,KDM5D,-0.0008032271777800753,0.003515608845232832,0.035790286099698435
ENSG00000170502,NUDT9,NUDT9,0.0029328432002107985,0.0035177651725412096,0.035800053184997474
ENSG00000127252,HRASLS,HRASLS,-0.01762991440655189,0.003522183771630161,0.03583282877872725
ENSG00000188257,PLA2G2A,PLA2G2A,0.10998290865951103,0.0035331334634919327,0.035929406137489406
ENSG00000213889,PPM1N,PPM1N,0.02333978327183809,0.0035352805838392287,0.035929406137489406
ENSG00000067900,ROCK1,ROCK1,0.001119423508112771,0.0035345901936808533,0.035929406137489406
ENSG00000007933,FMO3,FMO3,0.02297231197354321,0.0035419068371782547,0.03597230339558628
ENSG00000277701,RP11-734K23.9,,-0.0030206677720493037,0.0035411123895315866,0.03597230339558628
ENSG00000229891,LINC01315,LINC01315,0.012090906527178298,0.0035436175864783648,0.03597694599991773
ENSG00000087250,MT3,MT3,7.78040280251111e-05,0.003544769637638168,0.03597694599991773
ENSG00000257951,RP11-554D14.4,,-0.12537281885228588,0.003546775760125742,0.03598509599232054
ENSG00000125841,NRSN2,NRSN2,-0.0003618842563739056,0.003549446935739775,0.03599998570633322
ENSG00000234283,LINC01731,LINC01731,0.08643953391168525,0.003551952382674917,0.036013185005358224
ENSG00000164104,HMGB2,HMGB2,0.0021645208779315717,0.0035611275699419798,0.03609397682716524
ENSG00000154309,DISP1,DISP1,0.013677572843084464,0.003565662934135072,0.03612770269647018
ENSG00000126767,ELK1,ELK1,0.0007003444539868442,0.0035707441954067045,0.0361669349423009
ENSG00000084628,NKAIN1,NKAIN1,-0.0043029400594641375,0.003572756361160945,0.036175065254679714
ENSG00000226644,RP11-128M1.1,,-0.09914054015528813,0.0035800140027628657,0.0362362838655287
ENSG00000237451,CDK2AP2P2,CDK2AP2P2,-0.189811148559426,0.003592661111983864,0.03633466030147232
ENSG00000233430,RP11-403I13.9,,0.08790760381848675,0.003593377638641093,0.03633466030147232
ENSG00000148346,LCN2,LCN2,0.057263240800172886,0.0035919490040465796,0.03633466030147232
ENSG00000136444,RSAD1,RSAD1,0.0014362696825259307,0.003599056746510842,0.03637978617375441
ENSG00000260971,RP11-504A18.1,,0.08715079114501931,0.0036055837462741773,0.03642114483318495
ENSG00000004139,SARM1,SARM1,-0.002728716868151823,0.003604666088625974,0.03642114483318495
ENSG00000272168,CASC15,CASC15,-0.003066220924814657,0.0036151515659047506,0.03649556643218727
ENSG00000171735,CAMTA1,CAMTA1,-0.0005637827686871323,0.003620252469973217,0.03649556643218727
ENSG00000178752,ERFE,ERFE,-0.017027284717641616,0.003618240729044264,0.03649556643218727
ENSG00000272417,CTD-2199O4.6,,0.05111208173998273,0.0036177697589245827,0.03649556643218727
ENSG00000196793,ZNF239,ZNF239,-0.014977642652033624,0.0036155975165461647,0.03649556643218727
ENSG00000197635,DPP4,DPP4,-0.0155490550093116,0.0036202723371547853,0.03649556643218727
ENSG00000128581,IFT22,IFT22,-0.004308897634196907,0.0036255225747785507,0.0365347447341164
ENSG00000096433,ITPR3,ITPR3,0.0028119623398897703,0.003626601708979993,0.0365347447341164
ENSG00000084710,EFR3B,EFR3B,-0.0005435000649816966,0.0036283730581822,0.036540282212198516
ENSG00000104325,DECR1,DECR1,0.001874684887489755,0.0036343769922677627,0.0365795071139059
ENSG00000119812,FAM98A,FAM98A,-0.0017544886862735914,0.0036347139800243507,0.0365795071139059
ENSG00000118292,C1orf54,C1orf54,0.008554968212878315,0.00365198286481061,0.03658417025788311
ENSG00000244693,CTAGE8,CTAGE8,0.10438934249495864,0.0036381582504212404,0.03658417025788311
ENSG00000172167,MTBP,MTBP,-0.00993634727917468,0.003650499518596639,0.03658417025788311
ENSG00000119655,NPC2,NPC2,0.0012738940887305225,0.003648409561834653,0.03658417025788311
ENSG00000198807,PAX9,PAX9,0.10041558450654127,0.003640146281443379,0.03658417025788311
ENSG00000187398,LUZP2,LUZP2,-0.0035030354390491025,0.0036478081461565055,0.03658417025788311
ENSG00000176018,LYSMD3,LYSMD3,0.003577705044157328,0.003638886423002363,0.03658417025788311
ENSG00000131095,GFAP,GFAP,7.344354937065973e-06,0.003645243238732943,0.03658417025788311
ENSG00000171368,TPPP,TPPP,-0.0001043201822068436,0.003647182753638401,0.03658417025788311
ENSG00000154099,DNAAF1,DNAAF1,-0.005989717941090212,0.003649461756179528,0.03658417025788311
ENSG00000123444,KBTBD4,KBTBD4,-0.004409520269891735,0.0036374517366808408,0.03658417025788311
ENSG00000008394,MGST1,MGST1,0.0007825992535300463,0.0036464090799612774,0.03658417025788311
ENSG00000261308,FIGNL2,FIGNL2,-0.08927734218614612,0.003652301316952156,0.03658417025788311
ENSG00000034677,RNF19A,RNF19A,0.0007796765253675983,0.0036543487608730048,0.03659242431794831
ENSG00000163608,NEPRO,NEPRO,-0.003790977397807281,0.0036589277630051376,0.03662601385257151
ENSG00000237289,CKMT1B,CKMT1B,-0.000443376261366737,0.0036629973129627133,0.03663164471583153
ENSG00000260844,RP11-578F21.9,,0.05866562277189606,0.0036668386586158346,0.03663164471583153
ENSG00000198034,RPS4X,RPS4X,0.00025079996500914503,0.003663242278987733,0.03663164471583153
ENSG00000166862,CACNG2,CACNG2,-0.005407736256212022,0.003666319649123007,0.03663164471583153
ENSG00000111452,ADGRD1,ADGRD1,0.006628844321174593,0.003662815050671786,0.03663164471583153
ENSG00000205060,SLC35B4,SLC35B4,-0.0017047688332323234,0.0036645058092350533,0.03663164471583153
ENSG00000158373,HIST1H2BD,HIST1H2BD,0.0036375172123712172,0.003668136537893885,0.036632375241537916
ENSG00000129990,SYT5,SYT5,-0.00043100629167717536,0.003675188033904653,0.036690545425263066
ENSG00000088882,CPXM1,CPXM1,0.02720607468616917,0.0036857801044831717,0.03677455351898589
ENSG00000160888,IER2,IER2,0.0013923679982390431,0.0036860619006994218,0.03677455351898589
ENSG00000216863,LY86-AS1,LY86-AS1,-0.0036283223568554564,0.0036899064710083094,0.0368006343940842
ENSG00000172828,CES3,CES3,-0.012723536508847314,0.0037001760046574406,0.036890754766434684
ENSG00000135778,NTPCR,NTPCR,-0.002906759502991445,0.0037027459195772,0.036904075459698114
ENSG00000272567,RP11-73K9.3,,0.11903476166150136,0.0037098644224711212,0.036950397894142936
ENSG00000066248,NGEF,NGEF,-0.00025382145411415247,0.0037089175482761813,0.036950397894142936
ENSG00000196504,PRPF40A,PRPF40A,0.0014791962157049035,0.003722852851924863,0.03704275741885317
ENSG00000243414,TICAM2,TICAM2,0.016137573230851694,0.0037217573616786788,0.03704275741885317
ENSG00000137094,DNAJB5,DNAJB5,-0.002668087770902675,0.0037208203543713783,0.03704275741885317
ENSG00000142534,RPS11,RPS11,0.00018810700364278922,0.003732518524185102,0.03712658099713216
ENSG00000186019,AC084219.4,,-0.00911981139692819,0.0037342907514280603,0.03713186049707888
ENSG00000173890,GPR160,GPR160,0.016057939690652712,0.0037394259317939937,0.03713800564178228
ENSG00000221890,NPTXR,NPTXR,-0.00015992620984108983,0.003739875392612779,0.03713800564178228
ENSG00000152127,MGAT5,MGAT5,-0.0012812484269269626,0.0037370684215531904,0.03713800564178228
ENSG00000268350,FAM156A,FAM156A,-0.0020912151687138753,0.003739473588442732,0.03713800564178228
ENSG00000232934,RP11-324O2.3,,0.010902016835830156,0.003741722963458982,0.03714402052341791
ENSG00000167186,COQ7,COQ7,-0.00663240331799177,0.0037456064195868772,0.03717023490704828
ENSG00000248673,LINC01331,LINC01331,-0.035548167715143734,0.003747529298657626,0.03717698219663337
ENSG00000053372,MRTO4,MRTO4,-0.0027092032046011185,0.0037531160170433116,0.0372200597048294
ENSG00000236296,GUSBP5,GUSBP5,-0.02323074599101136,0.0037543909127975006,0.03722036201583468
ENSG00000265683,RP11-173M1.5,,-0.052219020866887886,0.0037597034246977796,0.0372483370098412
ENSG00000272601,RP11-155G14.5,,0.052694687382780686,0.003759058201941112,0.0372483370098412
ENSG00000171314,PGAM1,PGAM1,-0.0001819193195008369,0.003763359192530125,0.037272209751184116
ENSG00000150281,CTF1,CTF1,0.013657841615848423,0.003771338387950629,0.0373388716264824
ENSG00000090020,SLC9A1,SLC9A1,-0.001727635147866425,0.003774433531231969,0.0373571498739736
ENSG00000053918,KCNQ1,KCNQ1,0.02513877732085419,0.003776917036476647,0.03736936439332335
ENSG00000122420,PTGFR,PTGFR,0.015704641110444704,0.0037786898618991094,0.037374541590410836
ENSG00000180921,FAM83H,FAM83H,-0.006240031531261365,0.003782207648338476,0.037396968846877286
ENSG00000169252,ADRB2,ADRB2,0.018914054186858747,0.003788437685605328,0.037446190078141234
ENSG00000076053,RBM7,RBM7,0.005301078921912781,0.0037944487704304475,0.03749321530346042
ENSG00000089163,SIRT4,SIRT4,0.017506466574765508,0.003797025851379754,0.0375062890405444
ENSG00000260461,RP11-541N10.3,,-0.023660064301710724,0.003811012157132199,0.037632015061018174
ENSG00000239900,ADSL,ADSL,-0.0075321870371374625,0.003816288463041606,0.03766470512757223
ENSG00000167703,SLC43A2,SLC43A2,-0.0015980063619484995,0.003816841231750967,0.03766470512757223
ENSG00000249436,CTD-2023N9.3,,-0.0030912950196288038,0.0038221813984103963,0.037704962277854526
ENSG00000207611,MIR149,MIR149,-0.14711557296922104,0.0038236390152242006,0.03770690502649385
ENSG00000166763,STRCP1,STRCP1,-0.012123474408438428,0.0038261902214997705,0.03771962739784381
ENSG00000279858,RP11-618M23.5,,0.04470070583583072,0.0038290059113283976,0.03773494787737476
ENSG00000159082,SYNJ1,SYNJ1,-0.000387142186699262,0.00383124910223942,0.037744618131746066
ENSG00000233087,WTH3DI,,-0.02394552650595056,0.0038342529763741853,0.03776177363297725
