gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000261101.2,168.0,66.0,7.0,138.0,6.0
ENSG00000126945.8,5737.37,2236.07,1976.0,5284.91,1346.75
ENSG00000010671.15,92.0,112.0,60.0001,138.001,34.0
ENSG00000182489.8,9.0,60.0,5.0,28.0,2.0
ENSG00000007952.17,34.0,31.0,11.0,35.0,13.0
ENSG00000102359.5,77.0,59.0,4.0,179.0,12.0
ENSG00000147202.17,1164.03,3235.21,92.5337,2325.3,164.097
ENSG00000124429.17,110.0,88.0,4.0,113.126,5.0
ENSG00000077264.14,9751.74,3954.47,1623.84,5312.48,1091.65
ENSG00000198157.10,165.535,171.111,151.675,209.578,139.0
ENSG00000165288.10,2140.41,2578.55,108.0,2278.62,149.05700000000004
ENSG00000278530.4,179.419,218.815,14.0,177.68400000000003,7.0
ENSG00000078596.10,1801.0,480.0,971.0,1677.0,451.999
ENSG00000147145.12,62.6788,64.6801,4.00413,48.1352,10.0
ENSG00000173198.5,507.737,541.117,20.5734,379.06,21.6095
ENSG00000187325.4,1507.0,1112.0,642.0,1617.0,418.979
ENSG00000085224.21,12612.7,8364.71,905.0,8831.86,1059.0
ENSG00000196468.7,1.0,3.0,12.0,10.0,3.0
ENSG00000235447.2,30.0,6.0,5.0,15.0,4.0
ENSG00000198934.4,2318.0,1893.0,1182.0,2130.0,787.0
ENSG00000102390.10,257.0,193.0,164.0,317.0,104.0
ENSG00000215105.4,1583.62,878.779,90.5487,701.961,68.5412
ENSG00000050030.13,2967.53,2013.29,288.0,2067.19,186.0
ENSG00000271533.1,2546.31,2215.74,52.2944,1175.67,105.317
ENSG00000228492.2,261.372,317.6670000000001,1.30535,103.526,12.3425
ENSG00000270223.1,208.0,330.0,28.0,127.0,61.0
ENSG00000228906.1,75.1539,137.22799999999998,2.0,93.2228,4.5423300000000015
ENSG00000270641.1,2086.09,2777.46,109.074,1960.54,199.999
ENSG00000204118.1,60.2638,33.7904,20.0279,46.2379,11.7572
ENSG00000269502.5,34.1159,64.2212,36.5783,42.582,28.0593
ENSG00000184911.14,149.496,242.603,427.422,237.319,270.941
ENSG00000067177.14,762.28,1056.51,44.0,842.2819999999998,100.0
ENSG00000147099.19,856.903,498.902,253.0,488.527,288.001
