	int__beta	int__p	int__padj	Subject.death__beta	Subject.death__p	Subject.death__padj	counts__beta	counts__p	counts__padj
ENSG00000213186.7	2.4119819155326496	0.7820613531298546	1.0	-0.03820666682732636	0.08233306516206862	0.09947773036725904	-0.0007579555678858263	0.3681082915599546	1.0
ENSG00000064601.16	2.9464117936743945	1.0	1.0	-0.035895948808000754	0.031594845753868395	0.08284389988477306	-0.00042684090014285413	1.0	1.0
ENSG00000107984.9	0.8522399918924985	0.3233996821973887	0.9257794007722144	-0.045298997524494344	0.11643685708731366	0.13000384270211712	0.03397693879479356	1.0	1.0
ENSG00000129538.13	2.3858845770264656	1.0	1.0	-0.037470153302603344	0.06538768035553688	0.08661736369289956	-0.0001066489698409928	1.0	1.0
ENSG00000136710.9	4.801028521807031	1.0	1.0	-0.04315182790134705	0.06046816295830448	0.08412851205815547	-0.001658832248193667	1.0	1.0
ENSG00000163382.11	4.06441267973981	1.0	1.0	-0.04472896324671181	0.056202675847229044	0.08297609518137872	-0.0010727909293938244	1.0	1.0
ENSG00000184113.9	2.1348488550898237	1.0	1.0	-0.05208474695082715	0.013919659569922693	0.08284389988477306	0.00042346909320755874	0.020033947297522725	0.15621620541763173
ENSG00000163170.11	3.8309450146088184	0.7586046775785364	1.0	-0.045564319757682936	0.04017312645115889	0.08284389988477306	-0.002929519058672147	0.71080773629066	1.0
ENSG00000114956.19	2.4933599125859933	1.0	1.0	-0.04204624368255841	0.05636909235559462	0.0830045719139688	-0.0001298945890341876	1.0	1.0
ENSG00000213337.8	4.5372852239372605	0.2807569302238765	0.9203160407886041	-0.03577791970112329	0.10197854793460837	0.11674393678958953	-0.004156589125033316	0.2646351435554135	0.8556536534604401
ENSG00000185610.6	2.2371750045842798	1.0	1.0	-0.043194763721169524	0.03132383821286311	0.08284389988477306	0.0020989007125560206	0.41779010614200573	1.0
ENSG00000205702.10	2.762667704601325	1.0	1.0	-0.032501795204011925	0.06616459308244926	0.0871792738871588	-0.006791516823997357	1.0	1.0
ENSG00000280252.1	2.4637642592070312	1.0	1.0	-0.03911511634199935	0.05219699974728498	0.08284389988477306	-0.024454348540876292	1.0	1.0
ENSG00000138376.10	1.019236265034712	0.5253520364216385	1.0	-0.04282395101691764	0.09974078827691835	0.11477205573830393	0.009052412223880944	1.0	1.0
ENSG00000172318.5	0.694154029298062	0.23909373172908088	0.9203160407886041	-0.035088211438767884	0.023392081705502776	0.08284389988477306	0.0019569892573301846	1.0	1.0
ENSG00000068796.16	2.4953605260969685	0.04701786308741418	0.595848467753325	-0.04259086414270697	0.010689876558655165	0.08284389988477306	-6.341657008330535e-05	0.4393638457460882	1.0
ENSG00000135632.11	4.6031651043865995	1.0	1.0	-0.03143627771996508	0.10180843116274363	0.11660072176950023	-0.002656775684444133	1.0	1.0
ENSG00000135631.16	4.503247049412509	0.12109320834184434	0.8759479077353454	-0.045951989927085	0.034479435484548016	0.08284389988477306	-0.0008137874478813333	0.08415675340833495	0.3956603926496461
ENSG00000176692.5	1.8072330168922495	1.0	1.0	-0.038215421113198596	0.1161135592045941	0.12971168737432726	0.0055245098114488495	0.0012473261068324248	0.028676113901963722
ENSG00000120549.17	4.802580644628022	1.0	1.0	-0.05280638632634466	0.10307211037647435	0.11771026180572995	-0.0013433951021322253	1.0	1.0
ENSG00000254842.6	1.6563573409792156	0.16508485622253855	0.9203160407886041	-0.04016858242884478	0.11653430874195625	0.13009382687265064	0.013423585436968755	1.0	1.0
ENSG00000060971.17	2.574767423526116	1.0	1.0	-0.035613063674399134	0.030273006525734503	0.08284389988477306	-0.00033068141297338773	1.0	1.0
ENSG00000139269.2	0.6582728536174932	1.0	1.0	-0.0484834602454865	0.04031547998576401	0.08284389988477306	0.1046627116693733	0.46189574428421987	1.0
ENSG00000118514.13	2.3303237071323766	1.0	1.0	-0.042667388002671315	0.026357232946893405	0.08284389988477306	0.00042362697870957717	0.5719027301978987	1.0
