	int__beta	int__p	int__padj	Subject_death__beta	Subject_death__p	Subject_death__padj	counts__beta	counts__p	counts__padj	status
ENSG00000137168.7	1.196317331939483	0.8820837798724601	0.9857831399106313	-0.014149947241087348	0.6358830832992721	0.9167572332199594	-0.00016491273084965377	0.9852918071757374	0.9896993601319899	PL
ENSG00000198663.16	29.936017244338696	0.07446907904339795	0.8108092020741628	-0.0827215356095739	0.09207995223081877	0.9167572332199594	-0.008102843183343285	0.08513321917593375	0.435103834726958	PL
ENSG00000146192.14	-1.9010808040770881	0.5616339726019454	0.9156566665479319	-0.06604153919027785	0.17531797145196149	0.9167572332199594	0.02524025846305597	0.19488812982617854	0.435103834726958	PL
ENSG00000013619.13	-0.012626123999335135	0.9952312382925071	0.999034041571374	-0.05018165555850547	0.1996085589634765	0.9167572332199594	0.006337744986451564	0.1383378689376782	0.435103834726958	PL
ENSG00000165572.7	18.630214750292044	0.10473502961193426	0.8108092020741628	-0.08427597363899592	0.13226378568052632	0.9167572332199594	-0.008644559683314236	0.12740781656003208	0.435103834726958	PL
ENSG00000065491.8	-9.33644727055746	0.15962957681511036	0.8108092020741628	-0.027842085206456063	0.41250361627918775	0.9167572332199594	0.022029516235042176	0.0911038120401565	0.435103834726958	PL
ENSG00000172348.14	-4.939906309153449	0.2575499663689713	0.8108092020741628	0.00342637684483438	0.9255730027541061	0.9781851613607431	0.0008583024209817629	0.09468705808785693	0.435103834726958	PL
ENSG00000160408.14	-0.924262958644203	0.706896682249633	0.9634492239079536	-0.030535134800933884	0.36114050503343065	0.9167572332199594	0.0007567376052534811	0.20912539340421088	0.435103834726958	PL
ENSG00000198937.8	-2.663857576690526	0.5290553999020462	0.9031411646256579	-0.0069598432835588685	0.8298379820846804	0.9463591640377577	0.014959324786629575	0.3308984198285625	0.48060907456643026	PL
ENSG00000169696.15	0.40096118431565775	0.833082840546469	0.9788417914607023	-0.038021139250158896	0.30060824504696604	0.9167572332199594	0.0032010450756686944	0.18028956984250544	0.435103834726958	PL
ENSG00000143179.13	1.8926524999642504	0.6718858018428007	0.9546717337095464	-0.016147648202865166	0.5761013031414608	0.9167572332199594	-0.000992251632795567	0.8461765325904659	0.8852606856026702	PL
ENSG00000112139.14	-4.129158139854304	0.33145897822251635	0.8218574782273133	-0.011024141544128736	0.7839831487364717	0.9342465855776287	0.014267495206833214	0.15142382450376812	0.435103834726958	PL
ENSG00000183826.16	2.9592060740040766	0.20164500887372228	0.8108092020741628	0.00023572071794521584	0.9943383468092784	0.9976703540114715	-0.0007850390773787374	0.18338918498717283	0.435103834726958	PL
ENSG00000064309.14	4.136005198779936	0.15124210727002518	0.8108092020741628	-0.014015712474192117	0.655934137156959	0.9167572332199594	-0.005905890528604635	0.16732539613921427	0.435103834726958	PL
ENSG00000271755.1	3.578329894468609	0.2041704535481309	0.8108092020741628	-0.023894079875095713	0.4310380139579686	0.9167572332199594	-0.006061144910012802	0.2568259527956912	0.44096770075285735	PL
ENSG00000124767.6	-2.3877387610078658	0.5300563696678673	0.9037880650044058	-0.016850801321725478	0.5710179510005358	0.9167572332199594	0.0012468849790255223	0.25803943378104477	0.4414666364556752	PL
ENSG00000244300.2	0.9826007046277423	0.6443793784072771	0.9472825475506843	-0.049924474958412485	0.18866483481819818	0.9167572332199594	0.0873230860108183	0.09717122652816346	0.435103834726958	PL
ENSG00000149636.15	-4.973011897463411	0.331115283452015	0.8217628625187815	-0.01822313640590604	0.5534494320267644	0.9167572332199594	0.0249311285732035	0.18893990539828687	0.435103834726958	PL
ENSG00000170919.15	1.5685234187004695	0.6366771087269083	0.9455394367934314	-0.0026230784004585878	0.9722929518558087	0.9912713352559251	-0.0013562213323897892	0.8590689624185059	0.8949792973396357	PL
ENSG00000146122.16	-6.308613119159179	0.36493763087429576	0.8296280558563597	0.019936296343662178	0.6538999332270431	0.9167572332199594	0.00133996332442506	0.2650462051276936	0.4438355904149008	PL
ENSG00000281181.1	0.6379737293564073	0.7413657065397294	0.9681714089273886	0.00294531458366766	0.9330898862587493	0.9798219326844625	-6.7263705921252395e-06	0.34290148799561915	0.48840836688635514	PL
ENSG00000176623.11	10.150682076428696	0.0897500619949062	0.8108092020741628	-0.05975837582114568	0.16466819361381857	0.9167572332199594	-0.007193449028282008	0.115733439334896	0.435103834726958	PL
ENSG00000006016.10	1.0353623368875595	0.6111252310764469	0.9355148320815395	-0.04294851063678347	0.2458631572032488	0.9167572332199594	0.003253045940393554	0.10939293399992134	0.435103834726958	PL
ENSG00000253596.1	0.7469996701821626	0.8774985405812902	0.9849319265076829	-0.01687535160484749	0.6306595273031399	0.9167572332199594	0.019003906399125563	0.93004434971472	0.948084135722754	PL
ENSG00000235033.7	3.575086528083089	0.35342155711811263	0.8265221816238614	-0.030310230957423828	0.39722910300616343	0.9167572332199594	-0.011057659389584163	0.469791411383934	0.5855052373944029	PL
ENSG00000124615.17	-1.1852671794732588	0.6365701396993926	0.9455394367934314	-0.04251797317531056	0.2561817003167971	0.9167572332199594	0.008256408550101874	0.1255920833397648	0.435103834726958	PL
ENSG00000204091.7	-0.9216449091853035	0.7343928697081072	0.9681714089273886	-0.011580509925173853	0.7617120014729865	0.928910404192895	0.03314564574939853	0.09434394014227987	0.435103834726958	PL
ENSG00000124602.9	-0.256260034255725	0.931409547749976	0.9925284950277014	-0.00722822804913378	0.8100504175494705	0.942010543170097	0.03349077009043964	0.5902743727371189	0.6813651691807678	PL
ENSG00000001167.14	5.947231491733025	0.17091766486219373	0.8108092020741628	-0.02519532045732718	0.4276780444422177	0.9167572332199594	-0.005481143404988151	0.2226098703558752	0.435103834726958	PL
