gene_id,H_0689_BA9_mRNASeq,H_0709_BA9_mRNASeq,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,H_0723_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,H_0513_BA9_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_0656_BA9_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq,H_1104_BA9_mRNASeq,H_0601_BA9_mRNASeq
ENSG00000271754.1,1.0,5.24552,1.27902,3.0,3.0,10.6742,9.0,5.0,3.50371,13.1578,4.25318,6.0,1.0,5.83202,4.0,3.71678,1.0,8.77805,11.0,7.0,7.0
ENSG00000124571.17,240.284,273.087,1093.38,1407.16,1159.05,1329.52,440.312,1120.71,1397.16,1463.64,1296.25,1255.86,1708.97,376.062,261.776,1255.03,1238.13,1204.27,1498.76,232.0,504.977
ENSG00000275720.1,3.0,17.0,7.0,12.0,26.0,13.0,18.0,12.0,59.0,78.0,19.0,68.0,25.0,10.0,30.0,18.0,10.0,25.0,20.0,11.0,17.0
ENSG00000170734.11,25.2754,20.1634,318.038,436.012,371.11300000000006,489.552,69.2642,291.766,303.936,114.301,332.367,352.074,470.292,41.7463,23.0504,316.534,372.338,346.9480000000001,386.82,30.1171,99.0755
ENSG00000203362.2,5.6851,3.5151800000000004,52.3927,73.1824,68.0247,74.8783,4.48223,86.7128,56.2922,35.3987,79.4059,85.7905,60.3948,4.0,5.0,65.5607,98.5061,62.5064,79.9182,8.84796,8.40754
ENSG00000172426.15,16.1364,48.6574,96.7092,87.0,76.3324,107.942,54.7148,53.1244,103.595,193.182,67.3822,64.0878,65.2958,49.3686,42.3476,53.4321,87.2186,45.1997,105.72,36.8036,37.0941
ENSG00000096080.11,125.864,397.343,617.226,521.732,597.668,318.516,604.285,386.732,499.295,1680.82,350.61800000000005,332.754,443.419,406.632,306.652,748.568,481.145,611.696,364.104,266.177,328.906
ENSG00000112715.20,715.6519999999998,531.7959999999998,1048.0,703.0,1428.0,1331.0,4515.0,1245.0,1170.0,1429.6,584.001,1999.0,450.397,655.0,297.623,1105.0,1008.0,1642.0,1113.0,1170.56,420.0
ENSG00000156875.13,372.0,437.0,1978.0,1713.0,2117.0,1015.0,701.0,1360.0,1784.0,1993.0,1419.0,1016.0,1423.0,506.0,347.0,2269.0,1728.0,1677.0,1886.0,469.0,815.0
ENSG00000237686.6,10.7258,8.83803,65.6926,87.8034,93.9531,63.879,40.3818,52.5651,91.2652,66.5499,45.5284,77.1083,63.0952,45.666,14.3656,51.6806,77.0316,107.52,56.5748,13.8172,15.1756
ENSG00000132854.18,5.0,6.0,19.0,61.0,77.0,58.0,3.0,31.0,108.0,30.0,31.0001,149.0,91.9999,9.0,6.0,48.0001,49.0,74.0001,27.0,21.0,21.0
ENSG00000181577.15,5.0,2.0,63.0,83.0806,40.8517,85.8762,29.0,98.7441,28.0,44.0001,28.4868,17.0,16.6446,22.3445,2.0,35.0,41.3441,34.0942,24.5329,7.0,9.0
ENSG00000137216.18,387.0,709.0,1401.0,1433.0,1218.0,1046.0,1115.0,1379.0,1046.0,3618.0,967.0,1006.0,1143.0,1139.0,522.0,1347.0,1270.0,870.0,1189.0,651.0,1130.0
ENSG00000265439.2,1.82643,3.11596,30.7546,27.9275,17.8371,9.22425,3.71699,17.9232,14.9822,5.52214,31.6526,12.0916,22.0163,3.16821,1.62604,17.0534,42.2695,5.95735,26.4469,1.03767,2.41034
ENSG00000113303.11,9.10827,2.0,10.2027,16.6804,9.89747,18.0,6.0,10.0,7.069369999999998,11.0,12.0,10.0733,26.0,2.0,4.0,5.0,19.0,16.0,13.0,7.0,5.0
ENSG00000164776.9,75.8091,273.17900000000003,217.362,160.222,194.175,355.345,265.008,296.17,289.406,399.956,129.041,409.029,355.504,102.328,118.166,170.34400000000005,198.508,535.327,188.713,177.97799999999995,113.341
ENSG00000146232.15,56.0,153.0,213.0,181.0,216.0,118.0,181.0,159.0,79.0,788.9989999999998,134.0,42.0,85.0,456.0,143.0,196.0,136.0,261.0,253.0,154.0,173.0
ENSG00000124608.4,125.397,236.324,578.725,925.553,665.02,774.0060000000002,368.487,813.753,510.616,899.097,652.3290000000002,543.974,737.5260000000002,260.03700000000003,270.182,679.633,756.569,375.862,773.546,206.083,417.037
ENSG00000096401.7,358.144,495.315,2668.65,2738.14,2927.67,2033.44,806.942,2187.52,1887.21,2575.14,2534.0,1737.15,1821.78,658.24,392.353,3249.77,2920.06,2274.61,2963.16,572.7130000000002,830.926
ENSG00000124813.20,43.0,45.0,123.0,216.0,239.027,356.0,73.0,215.0,178.023,269.0,274.0,141.0,282.0,73.0,56.0001,202.0,236.0,176.0,405.216,62.0,89.0
ENSG00000271857.1,8.0,13.0,9.0,12.0,5.0,13.0,29.0,15.0,6.0,113.0,17.0,9.0,3.0,20.0,17.0,11.0,6.0,8.0,21.0,15.0,14.0
ENSG00000112782.15,149.0,66.0,225.0,402.0,243.0,323.0,79.0,272.0,297.0,618.0,300.0,244.0,348.0,134.0,96.0,328.0,440.0,249.0,279.0,78.0,177.0
ENSG00000172771.11,22.3104,51.8376,165.364,382.077,248.084,413.334,62.2032,301.876,656.288,224.435,407.305,628.528,488.326,36.2873,55.9149,208.824,387.565,335.735,444.458,45.1341,69.5474
ENSG00000163472.18,43.0,213.959,62.0946,162.528,93.917,165.71099999999996,68.8346,127.228,87.0719,220.009,162.56799999999996,100.799,105.905,48.0,73.7834,66.8288,80.4594,95.6334,219.023,32.7086,89.6552
ENSG00000231769.2,12.0,8.0,25.0759,49.2094,27.2135,39.0,12.0,28.0743,83.3992,83.2564,34.0319,29.0768,28.0324,34.0,13.2263,41.2215,40.1242,42.2908,16.073,23.0,13.095
ENSG00000219545.10,142.252,121.0,467.717,584.781,528.535,306.123,266.165,466.996,489.804,1026.0,400.444,476.589,514.423,237.0,185.0,697.743,626.66,623.7909999999998,541.021,231.0,326.628
ENSG00000180938.5,20.0,10.0,70.0,124.0,115.0,106.0,11.0,94.0,140.0,42.0,54.0,79.0,136.0,12.0,18.0,133.0,113.0,160.0,74.0,7.0,16.0
ENSG00000001561.6,505.0,407.0,2533.0,3336.0,3513.0,1978.0,637.0,1940.0,2377.0,2271.0,2356.0,1543.0,2069.0,693.0,429.0,3475.0,3046.0,2536.0,2960.0,547.0,1226.0
ENSG00000121236.20,13.8052,3.0,21.524,37.3003,47.1817,32.5931,11.0487,39.1307,55.2911,36.8979,42.6918,46.5717,61.7758,12.1526,7.70459,42.7119,56.2856,44.1641,44.0843,6.0,12.7094
ENSG00000112796.9,134.0,281.972,1782.54,2910.16,2105.16,1015.14,317.0,1798.69,1139.1,1351.72,2246.04,857.6389999999999,1017.57,543.22,201.01,2881.57,2688.96,1233.73,2670.41,322.014,595.001
ENSG00000158246.7,14.0,18.0,13.0,20.0,4.0,59.0,15.0,11.0,7.0,57.0,16.0,31.0,38.0,12.0,4.0,14.0,17.0,34.0,16.0,14.0,6.0
ENSG00000180113.15,78.0,127.0,327.135,584.0,428.001,682.0,93.0,460.0,868.0,640.0,585.999,888.0,700.0,98.0,145.535,517.0,589.0,508.001,930.999,105.0,161.0
ENSG00000111877.17,86.0352,66.095,343.06,645.08,515.32,648.484,83.0337,474.177,633.597,250.191,441.374,524.994,856.449,80.2362,66.1774,538.428,572.376,733.556,570.531,51.9999,113.369
ENSG00000267457.1,4.0,3.0,11.0,25.0,14.0,23.0,7.0,17.0,3.0,12.0,17.0,16.0,27.0,5.0,4.0,16.0,17.0,29.0,16.0,7.0,2.0
ENSG00000069122.18,826.9889999999998,282.0,1492.99,1844.0,1723.0,1302.99,522.806,1190.97,1026.0,1787.72,1336.0,731.0,2283.88,412.999,391.985,1433.99,1793.94,753.0,1780.0,507.985,889.961
ENSG00000153292.15,14.2866,15.6109,288.705,805.262,371.018,825.7860000000002,21.5536,766.198,361.011,49.05,438.356,475.906,515.73,12.324000000000002,15.7487,315.8520000000001,510.397,366.419,543.475,11.2736,19.9156
ENSG00000198087.7,167.05,113.223,681.855,806.3530000000002,884.7669999999998,803.122,182.329,774.965,979.313,652.511,623.002,992.192,1254.48,152.685,134.0,787.551,894.535,913.02,800.7489999999998,182.0,216.021
ENSG00000215237.6,12.0,28.1233,55.0656,76.1369,54.1439,59.3714,25.0446,48.3839,58.2737,102.285,37.3124,26.2958,23.101,29.2614,36.4611,105.112,68.2139,65.3216,26.35,20.0,32.2051
ENSG00000100578.14,127.746,119.608,1068.87,1599.91,1321.78,1666.93,182.847,1275.14,1280.56,643.451,1418.21,1337.25,1857.1,153.264,134.912,1373.55,1545.93,1508.6,1728.06,168.207,261.439
ENSG00000105792.19,40.8505,133.268,1391.01,2518.57,1839.15,2369.12,183.569,2037.29,2202.58,611.529,2239.9,2079.72,2625.47,116.944,103.381,1645.85,2591.15,1405.74,2427.11,126.076,219.241
ENSG00000137193.13,374.0,543.0,221.001,204.0,229.0,492.236,572.0,137.0,206.0,810.0,254.0,291.0,401.0,660.0,124.0,195.0,207.0,840.0,362.0,293.0,137.0
ENSG00000198060.9,320.301,408.807,1264.14,1240.67,1330.66,791.561,566.309,1083.39,1161.01,1808.12,1022.3,807.882,1136.12,468.0,320.0,1456.88,1117.82,1350.4,1211.61,456.176,645.113
ENSG00000146085.7,399.0,491.0,1791.0,2219.0,2126.0,1450.0,694.0,1426.0,1536.0,2294.0,1660.0,1424.0,1769.0,561.0,427.0,2160.0,1954.0,1810.0,2219.0,512.0,825.0
ENSG00000031691.6,49.0,63.0,158.0,198.0,275.0,105.0,60.0,97.0,132.0,239.0,74.0,151.0,171.0,32.0,51.0,184.0,130.0,130.0,97.0,47.0,108.0
ENSG00000279127.1,13.3194,17.5996,279.514,569.735,367.594,649.4590000000002,19.4598,403.574,523.245,41.3228,488.835,633.531,759.082,9.08449,6.17997,307.612,609.302,403.906,521.086,11.6361,25.2145
