H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
676.298,897.054,145.92700000000005,884.47,144.384
1877.55,1580.97,758.8380000000002,2809.57,720.613
23.0,2.0,16.0,64.0,2.0
41.0001,59.0,27.0,35.0,41.0
1615.7,914.668,172.757,889.992,191.0
448.215,386.961,71.0,496.152,42.1897
860.555,778.291,460.701,824.454,449.39
570.0,511.0,239.0,691.0,253.0
37.0,5.0,9.0,14.0,2.0
86.6291,106.448,2.0,85.87700000000002,6.7251699999999985
1049.0,496.0,475.0,665.0,490.0
95.8646,124.296,3.0,107.514,1.42259
850.3789999999998,742.678,373.896,720.8919999999998,299.186
1302.0,656.0,361.0,536.0,332.0
87.0,147.0,26.0,201.0,37.0
740.454,1501.19,205.01,1144.92,286.0
714.0,2439.0,874.0,1271.0,1359.0
28.4746,8.17152,38.0,2.01965,13.0
597.758,751.492,192.768,754.095,206.948
1807.0,1477.0,552.0,838.0,455.0
90.8629,633.861,88.2499,454.346,48.1176
488.951,671.929,99.7731,399.551,40.8889
392.448,642.486,147.997,412.507,283.059
131.0,27.0,16.0,26.0,5.0
15.0,5.0,1.0,11.0,6.0
143.262,79.277,16.8525,86.3247,20.8838
60.0,76.9999,12.0,64.0001,16.9999
229.3,306.071,135.099,320.368,185.0
355.07,281.812,260.21,395.907,174.416
20.5394,74.2368,9.74682,38.2899,9.70557
1486.02,1465.01,3087.29,1931.02,1709.32
144.218,113.938,90.6427,298.385,58.8061
41.5442,34.891,70.8976,35.0574,15.5677
458.22,357.781,160.434,266.089,127.33
1396.2,689.034,330.965,710.2760000000002,315.475
422.39,385.717,518.0,417.536,349.0
74.6114,444.264,110.617,69.054,222.064
21.0,22.0,30.6494,16.0807,66.9357
64.9036,96.0722,221.98,52.7614,223.813
203.096,124.927,316.961,136.239,196.187
362.0,290.0,1068.0,337.0,637.0
3562.0,4653.0,3638.0,2755.0,3019.0
1.0,13.291,14.7912,9.0,5.13432
939.001,1052.0,1105.0,959.0,1044.0
526.394,583.581,627.3480000000002,333.215,502.797
1565.98,1982.91,1259.23,1317.25,1117.02
22.0,17.0,6.0,12.0,7.0
228.422,324.111,695.107,194.81,407.722
40.0,35.0,78.6418,79.0352,43.5208
38.8076,59.8735,63.0,67.2812,28.0
230.0,139.0,855.0,121.0,925.0
8.12312,34.5331,45.3447,11.45,42.0457
599.0,872.0,193.0,499.0,132.0
32.3288,40.5643,1.44057,21.5691,4.60316
65.0857,126.246,6.47923,75.7574,3.17331
665.0,821.0,556.0,807.0,371.0
382.636,355.778,18.1562,285.469,16.415
51.162,105.535,22.003,60.2093,31.0083
54.0,233.0,1.0,55.9999,2.0
15.2217,46.4064,2.00109,14.1357,3.00265
291.941,210.343,34.4781,112.502,21.4015
547.615,652.092,500.772,632.414,303.012
168.0,83.0,163.0,253.0,82.0
1128.95,706.495,651.519,610.007,512.0
834.437,1244.83,645.568,670.7919999999998,510.454
71.3115,90.877,11.1144,96.0527,5.23183
68.7396,54.9498,2.82579,66.1438,2.06299
1308.15,1353.31,115.729,1281.54,179.793
39.4129,33.5684,2.08506,78.2098,1.00064
52.9391,24.8296,97.3165,47.8253,37.1208
21.0,83.0,4.0,23.0,9.0
533.414,1530.48,208.732,800.373,298.526
2336.34,1657.55,711.1189999999998,1997.64,496.034
415.425,249.951,309.363,327.454,188.68
28.0,61.0,1.0,88.0,1.0
107.0,151.0,81.0,219.0,85.0
3196.0,1856.0,804.0,1936.0,740.0
22.4759,37.9978,15.106,23.4287,8.32373
128.85399999999998,254.626,161.944,234.0,163.753
223.221,342.668,10.4869,262.499,9.98118
865.303,1064.47,832.125,1238.62,511.666
