gene_id,C_0113_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_CAP_mRNASeq
ENSG00000147202.17,3524.84,3235.21,2972.7,2325.3
ENSG00000203262.3,21.7253,28.5207,26.5021,22.107
ENSG00000215089.3,9.0,27.0,14.3088,2.0
ENSG00000124429.17,87.0,88.0,118.144,113.126
ENSG00000077264.14,7419.69,3954.47,5584.2,5312.48
ENSG00000279437.1,45.6264,57.5,49.8898,65.5813
ENSG00000224523.1,29.0,52.0,27.0,36.0
ENSG00000231875.1,44.0,83.0,58.0,32.0
ENSG00000198157.10,204.99,171.111,198.04,209.578
ENSG00000225715.1,13.0,36.0,32.0,15.0
ENSG00000165288.10,2574.48,2578.55,2804.97,2278.62
ENSG00000278530.4,208.51,218.815,239.96400000000003,177.68400000000003
ENSG00000078596.10,1266.0,480.0,1552.0,1677.0
ENSG00000228836.8,0.0,23.7418,44.4458,46.6959
ENSG00000147145.12,43.5043,64.6801,95.6662,48.1352
ENSG00000173198.5,554.714,541.117,684.437,379.06
ENSG00000187325.4,1202.86,1112.0,1344.87,1617.0
ENSG00000263410.2,13.9975,20.0932,43.4095,15.2185
ENSG00000085224.21,10297.6,8364.71,10076.2,8831.86
ENSG00000235447.2,38.0,6.0,21.0,15.0
ENSG00000198934.4,2399.0,1893.0,1925.0,2130.0
ENSG00000102390.10,245.0,193.0,206.0,317.0
ENSG00000215105.4,1076.33,878.779,1126.52,701.961
ENSG00000237089.2,3.0,9.0,10.0,8.0
ENSG00000050030.13,2508.91,2013.29,2002.56,2067.19
ENSG00000231206.2,5.0,9.006089999999997,11.0,4.0007199999999985
ENSG00000239745.3,6.5404,7.266769999999998,14.0174,17.3401
ENSG00000271533.1,2238.13,2215.74,2735.95,1175.67
ENSG00000228492.2,257.436,317.6670000000001,388.802,103.526
ENSG00000232928.2,158.278,96.1165,252.751,88.1518
ENSG00000270223.1,182.0,330.0,231.0,127.0
ENSG00000271199.1,53.7945,110.556,67.0487,40.4037
ENSG00000228906.1,86.1344,137.22799999999998,117.133,93.2228
ENSG00000270641.1,2477.3,2777.46,3396.49,1960.54
ENSG00000204118.1,60.3136,33.7904,40.7883,46.2379
ENSG00000283594.1,7.8146,7.46646,8.15442,5.0
ENSG00000269502.5,46.1436,64.2212,52.297,42.582
ENSG00000268994.3,20.2415,45.2424,36.7421,18.0
ENSG00000184911.14,271.827,242.603,324.423,237.319
ENSG00000231944.1,14.0,21.0,18.0,4.0
ENSG00000067177.14,1283.16,1056.51,1319.57,842.2819999999998
ENSG00000222810.1,4.0,11.0,9.0,5.0
ENSG00000147099.19,537.63,498.902,587.538,488.527
ENSG00000198034.10,4346.0,4620.0,4635.0,9293.99
ENSG00000186871.6,55.9096,58.0088,120.384,54.5656
ENSG00000102309.12,494.0,294.0,299.851,655.9989999999998
ENSG00000186810.7,6.0,21.0,13.0,14.0
ENSG00000147162.13,10244.0,13420.0,13259.0,7934.02
ENSG00000215120.2,9.0,2.0,5.6247,21.2492
ENSG00000229601.1,31.0,38.9649,46.0,17.8634
ENSG00000275975.1,7.692,5.17162,3.09898,7.666360000000001
ENSG00000147133.15,2180.7,2030.33,3111.11,2476.69
ENSG00000228427.1,13.4295,8.64575,28.9206,27.0949
ENSG00000227536.1,6.0,19.0,7.0,3.0
ENSG00000165349.11,14.0,10.0,10.0,19.0
ENSG00000280704.1,24.0,33.9988,40.0,24.9942
ENSG00000120498.13,7.293369999999999,6.00743,8.06898,5.05923
ENSG00000231651.1,8.0,10.0,6.0,7.0
ENSG00000130055.13,149.499,129.359,123.473,224.25
ENSG00000147127.8,52.0,86.0,63.0,68.0
ENSG00000120500.17,43.0,28.0,50.0,31.0
ENSG00000242657.3,24.3711,25.8516,22.8397,12.4168
ENSG00000203588.3,48.3105,68.683,56.7348,42.2539
ENSG00000089289.15,846.9780000000002,776.0010000000002,844.0,1026.0
ENSG00000158813.17,91.9528,124.845,127.521,69.3313
ENSG00000090776.5,87.338,100.953,174.597,175.165
ENSG00000130052.13,247.238,369.262,770.872,284.895
ENSG00000181704.11,2282.86,1916.86,2398.2,2257.11
ENSG00000228328.2,14.0131,32.0592,49.0,14.0
ENSG00000001497.16,962.0,1096.0,1292.0,843.0
ENSG00000102053.12,994.207,1082.0,1088.48,810.2539999999998
ENSG00000231857.1,15.0,20.0,39.0,10.0
ENSG00000237971.1,56.0,95.0,100.0,50.0
ENSG00000126970.15,365.846,301.334,347.931,234.044
ENSG00000102043.15,95.0,72.0,109.0,76.0
ENSG00000226010.1,32.0,12.0,28.0,27.0
ENSG00000233661.1,23.0,14.0,19.0,16.0
ENSG00000186767.6,350.0,253.0,345.0,266.0
ENSG00000198205.6,403.644,385.617,523.151,360.562
ENSG00000231765.1,27.0,12.0,21.0,6.0
ENSG00000224799.1,172.03599999999997,222.984,217.795,151.813
ENSG00000188021.8,3271.0,2846.0,3500.0,2825.0
ENSG00000227486.1,71.3972,55.4397,70.8378,55.3678
ENSG00000247746.4,289.0,166.0,251.0,299.0
ENSG00000169188.4,183.823,141.488,187.302,165.32299999999995
ENSG00000221716.1,11.0,7.0,12.0,18.0
ENSG00000102316.16,2159.0,1435.0,2375.78,3052.76
ENSG00000102302.7,491.0,586.0,593.0,402.0
ENSG00000184083.11,2124.07,1690.02,2225.33,2005.04
ENSG00000086758.15,16745.0,17924.0,20041.0,13957.0
ENSG00000126012.11,2165.7,3132.69,3738.42,1913.34
ENSG00000227329.2,32.8752,50.9915,58.9719,20.746
ENSG00000231340.1,89.7913,129.662,117.005,68.9422
ENSG00000232593.6,516.043,575.016,751.206,384.606
ENSG00000270497.1,15.0,20.0,29.0,5.0
ENSG00000187754.8,41.9212,53.722,72.4601,47.4712
ENSG00000179028.4,12.0842,8.54118,10.0716,6.53564
ENSG00000182776.4,12.0842,8.54118,10.0716,6.53564
ENSG00000283093.1,61.6849,46.1154,72.6423,63.4861
ENSG00000224109.2,3.63011,5.76921,15.7153,11.0279
ENSG00000196368.4,1042.45,635.386,755.3439999999998,1313.99
ENSG00000226530.1,35.0,41.0,42.0,38.0
ENSG00000229151.1,50.0,42.0,50.0,61.0
ENSG00000122824.10,423.547,220.614,294.656,454.005
ENSG00000237926.1,24.0,39.0,31.0,7.0
ENSG00000230317.1,41.2269,44.1358,57.3989,47.1091
ENSG00000274588.1,159.0,203.0,203.0,590.0
ENSG00000101842.13,79.0383,75.9785,79.3159,104.391
ENSG00000273820.1,256.541,148.217,230.717,345.202
ENSG00000205777.17,31.3842,78.8229,52.3444,39.6578
ENSG00000049768.14,7.0,26.0001,18.0,10.0
ENSG00000280116.1,14.0,26.0,24.0,22.0
ENSG00000196998.17,713.169,866.4069999999998,894.432,748.02
ENSG00000147144.12,125.407,192.86900000000003,170.768,121.771
ENSG00000068323.16,1102.0,1262.0,1671.0,1332.0
ENSG00000102057.9,75.0,110.0,148.0,123.0
ENSG00000279155.1,44.0,47.0,64.0,25.0
ENSG00000102096.9,441.0,263.711,345.0,425.0
ENSG00000102103.15,622.001,518.0,592.0,905.001
ENSG00000094631.18,1237.99,1240.09,1814.82,1080.29
ENSG00000102145.13,6.0,8.0,8.0,7.0
ENSG00000015285.10,64.7067,121.111,149.719,94.4815
ENSG00000231725.1,5.0,16.0,11.0,9.0
ENSG00000101940.17,2667.08,2272.94,2787.83,2449.89
ENSG00000279528.1,12.0,13.0,17.0,41.2739
ENSG00000228343.1,53.0,55.0,70.0,122.726
ENSG00000204620.3,19.1217,19.9507,6.08305,29.1322
ENSG00000068354.15,517.0,438.0,563.0,525.0
ENSG00000147155.10,308.0,185.0,282.0,347.001
ENSG00000102312.20,373.851,277.033,304.009,334.18300000000005
ENSG00000224292.1,10.0,5.0,7.0,9.0
ENSG00000017483.14,182.074,38.0035,301.163,52.0
ENSG00000235350.1,16.1437,18.5686,18.5324,11.073
ENSG00000165583.14,21.3235,11.8695,20.0626,8.04624
ENSG00000225198.1,20.9655,5.53304,22.4834,26.1603
ENSG00000277541.1,6.0,16.0,13.0,1.0
ENSG00000221994.10,206.193,325.753,318.237,169.872
ENSG00000147118.11,380.168,401.947,528.077,256.004
ENSG00000126759.12,147.933,188.229,219.687,134.709
ENSG00000102265.11,187.0,371.0,704.0,486.0
ENSG00000008056.12,2344.0,1831.0,2990.0,2118.0
ENSG00000277605.1,4.8467,23.3937,9.01309,19.6335
ENSG00000102226.9,7649.0,5541.0,7889.0,7787.0
ENSG00000130985.16,3891.62,3523.34,4638.81,3687.79
ENSG00000147123.10,878.687,566.795,771.0,1010.33
ENSG00000130988.12,482.094,344.237,566.069,672.1060000000001
ENSG00000251192.7,428.889,424.797,469.326,370.61800000000005
ENSG00000229563.6,34.4538,53.1447,35.7551,32.7161
ENSG00000229491.5,19.8839,16.774,30.4353,36.0582
ENSG00000147050.14,978.116,1473.98,1948.0,1067.37
ENSG00000214018.3,15.0,19.0,7.0,1.0
ENSG00000198414.5,26.0,17.0,7.0,0.0
ENSG00000069535.13,3389.01,4335.0,4153.0,4362.0
ENSG00000224294.1,52.1136,77.0,68.0,27.0
ENSG00000279849.1,8.650830000000001,8.725430000000001,13.8569,6.34517
ENSG00000269226.7,184.001,165.453,211.687,156.07
ENSG00000171657.5,90.4968,154.987,167.804,82.9393
ENSG00000171659.13,416.0,318.0,892.0,363.0
ENSG00000242559.3,9.18057,15.5027,10.9774,11.8282
ENSG00000217624.2,8.01962,8.02212,10.0131,14.0176
ENSG00000147044.20,2259.07,1820.2,2038.0,1894.6
ENSG00000223714.1,10.0,8.0,6.0,4.0
ENSG00000124486.12,8820.62,7437.83,9762.76,8872.1
ENSG00000214031.2,194.171,256.935,276.999,151.659
ENSG00000234636.2,12.0,9.0,17.0,22.0
ENSG00000264618.2,5.00001,8.79781,7.00002,5.00001
ENSG00000238123.1,30.0,27.0,38.0,32.0
ENSG00000165175.15,763.439,660.268,1214.96,832.888
ENSG00000156298.12,15202.0,11057.0,10431.0,17125.3
ENSG00000252050.1,11.0,9.0,15.0,8.0
